solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_387,-35.356021,146.767674,NSW,2656
AUS_SOLAR_REF_388,-37.59554693,146.9492264,VIC,3860
AUS_SOLAR_REF_389,-33.783751,150.900547,NSW,2148
AUS_SOLAR_REF_390,-33.4173351,135.7111465,SA,5633
AUS_SOLAR_REF_391,-35.00329903,139.3309753,SA,5254
AUS_SOLAR_REF_392,-36.31227,142.968057,VIC,3480
AUS_SOLAR_REF_393,-32.366157,142.666608,NSW,2879
AUS_SOLAR_REF_394,-34.862038,148.796477,NSW,2582
AUS_SOLAR_REF_395,-30.766245,148.261265,NSW,2829
AUS_SOLAR_REF_396,-29.602251,124.856838,WA,6436
AUS_SOLAR_REF_397,-38.20363,143.892824,VIC,3241
AUS_SOLAR_REF_398,-18.752827,125.282055,WA,6765
AUS_SOLAR_REF_399,-25.189298,152.300968,QLD,4660
AUS_SOLAR_REF_400,-34.823141,137.544605,SA,5575
AUS_SOLAR_REF_401,-32.339759,140.027346,SA,5440
AUS_SOLAR_REF_402,-25.79287911,113.0535618,WA,6537
AUS_SOLAR_REF_403,-32.180856,138.1056,SA,5433
AUS_SOLAR_REF_404,-32.023679,118.806453,WA,6369
AUS_SOLAR_REF_405,-31.41005188,132.6529574,SA,5690
AUS_SOLAR_REF_406,-34.764484,149.286631,NSW,2581
AUS_SOLAR_REF_407,-27.316799,150.910979,QLD,4405
AUS_SOLAR_REF_408,-37.12975291,142.9948304,VIC,3377
AUS_SOLAR_REF_409,-28.802491,114.862505,WA,6530
AUS_SOLAR_REF_410,-20.2103,119.727488,WA,6723
AUS_SOLAR_REF_411,-28.4268064,152.7815971,NSW,2474
AUS_SOLAR_REF_412,-15.15786303,145.247184,QLD,4895
AUS_SOLAR_REF_413,-33.783955,148.90873,NSW,2793
AUS_SOLAR_REF_414,-33.455088,139.732545,SA,5417
AUS_SOLAR_REF_415,-33.60465982,138.2166319,SA,5555
AUS_SOLAR_REF_416,-34.147379,150.718007,NSW,2568
AUS_SOLAR_REF_417,-37.408371,141.687516,VIC,3315
AUS_SOLAR_REF_418,-22.536444,145.486391,QLD,4726
AUS_SOLAR_REF_419,-20.80936757,127.5009013,WA,6770
AUS_SOLAR_REF_420,-29.630052,151.162025,NSW,2360
